DATAFLOW,FREQ,FAM_TARGET,ITTER107,TIPO_DATO_MIGLIAIA,HH_FORE,TIPOLOGIA_FAM,HH_RETIRED,HH_UNE_PLF,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_WH_C,HH_NORET,HH_ATL1UP_PLF,2022,221.304,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_WH_C,HH_NORET,HH_ATL1UP_PLF,2023,196.932,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_WH_C,HH_NORET,TOTAL,2021,648.929,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_WH_C,HH_NORET,TOTAL,2022,612.473,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_WH_C,HH_NORET,TOTAL,2023,597.842,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_WH_C,TOTAL,HH_0UNEMP,2021,766.462,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_WH_C,TOTAL,HH_0UNEMP,2022,770.004,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_WH_C,TOTAL,HH_0UNEMP,2023,764.993,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_WH_C,TOTAL,HH_ALT1UP,2021,122.014,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_WH_C,TOTAL,HH_ALT1UP,2022,99.87,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_WH_C,TOTAL,HH_ALT1UP,2023,87.47,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_WH_C,TOTAL,HH_ATL1UP_PLF,2021,285.633,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_WH_C,TOTAL,HH_ATL1UP_PLF,2022,221.304,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_WH_C,TOTAL,HH_ATL1UP_PLF,2023,196.932,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_WH_C,TOTAL,TOTAL,2021,888.476,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_WH_C,TOTAL,TOTAL,2022,869.873,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_WH_C,TOTAL,TOTAL,2023,852.463,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH,HH_NORET,HH_0UNEMP,2021,6838.173,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH,HH_NORET,HH_0UNEMP,2022,6826.105,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH,HH_NORET,HH_0UNEMP,2023,6742.176,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH,HH_NORET,HH_ALT1UP,2021,741.782,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH,HH_NORET,HH_ALT1UP,2022,634.402,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH,HH_NORET,HH_ALT1UP,2023,601.213,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH,HH_NORET,HH_ATL1UP_PLF,2021,1686.392,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH,HH_NORET,HH_ATL1UP_PLF,2022,1393.727,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,HH,HH_NORET,HH_ATL1UP_PLF,2023,1273.387,,,,,,,,,
